# ProgramName, Artist, StartTime, EndTime
Blues Festival, Jim Mesi Band, 2017-06-30T12:00, 2017-06-30T13:00
Blues Festival, Bill D and the Hoodoos, 2017-06-30T13:00, 2017-06-30T14:00
Blues Festival, Karen Lovely, 2017-06-30T14:00, 2017-06-30T15:00
Blues Festival, Dirty Bourbon River Show, 2017-06-30T15:00, 2017-06-30T16:00
Blues Festival, JJ Thames and the Violent Revolt, 2017-06-30T16:00, 2017-06-30T17:00
Blues Festival, Ty Curtis Band, 2017-06-30T17:00, 2017-06-30T18:00
Blues Festival, Lovebomb Go-Go, 2017-06-30T18:00, 2017-06-30T18:45
Blues Festival, Elvin Bishop, 2017-06-30T18:45, 2017-06-30T20:00
Blues Festival, Fantastic Negrito, 2017-06-30T20:00, 2017-06-30T21:00
Blues Festival, Chris Isaak, 2017-06-30T21:00, 2017-06-30T22:15
Blues Festival, Lady Kat, 2017-07-01T12:00, 2017-07-01T13:00
Blues Festival, Big Monti, 2017-07-01T13:00, 2017-07-01T14:00
Blues Festival, Sharon Puorto Band, 2017-07-01T14:00, 2017-07-01T15:00
Blues Festival, Christone Kingfish Ingram, 2017-07-01T15:00, 2017-07-01T16:00
Blues Festival, Greyhounds, 2017-07-01T16:00, 2017-07-01T17:00
Blues Festival, Eric Gale, 2017-07-01T17:00, 2017-07-01T18:00
Blues Festival, Dirty Revival, 2017-07-01T18:00, 2017-07-01T19:00
Blues Festival, JD McPherson, 2017-07-01T19:00, 2017-07-01T20:00
Blues Festival, Southern Avenue, 2017-07-01T20:00, 2017-07-01T21:00
Blues Festival, Big Head Blues Club, 2017-07-01T21:00, 2017-07-01T22:15
Blues Festival, Cee Cee James, 2017-07-02T12:00, 2017-07-02T13:00
Blues Festival, Rose City Kings, 2017-07-02T13:00, 2017-07-02T14:00
Blues Festival, The Sons of Soul Revivers, 2017-07-02T14:00, 2017-07-02T15:00
Blues Festival, Dexter Allen, 2017-07-02T15:00, 2017-07-02T16:00
Blues Festival, King Louie's Blues Revue, 2017-07-02T16:00, 2017-07-02T17:00
Blues Festival, Pimps of Joytime, 2017-07-02T17:00, 2017-07-02T18:00
Blues Festival, Vieux Farka Touré, 2017-07-02T18:00, 2017-07-02T19:00
Blues Festival, Blynd, 2017-07-02T19:00, 2017-07-02T20:00
Blues Festival, Sonny Landreth, 2017-07-02T20:00, 2017-07-02T21:00
Blues Festival, Galactic, 2017-07-02T21:00, 2017-07-02T22:15
Blues Festival, Dave Fields, 2017-07-03T12:00, 2017-07-03T13:00
Blues Festival, Norman Sylvester, 2017-07-03T13:00, 2017-07-03T14:00
Blues Festival, Strange Tones, 2017-07-03T14:00, 2017-07-03T15:00
Blues Festival, Dustbowl Revival, 2017-07-03T15:00, 2017-07-03T16:00
Blues Festival, Chris Cain, 2017-07-03T16:00, 2017-07-03T17:00
Blues Festival, Scott Pemberton, 2017-07-03T17:00, 2017-07-03T18:00
Blues Festival, Cory Henry and the Funk Apostles, 2017-07-03T18:00, 2017-07-03T19:00
Blues Festival, Booker T Stax Revue, 2017-07-03T19:00, 2017-07-03T20:00
Blues Festival, Bokanté, 2017-07-03T20:00, 2017-07-03T21:00
# note, Joss Stone only allowed broadcast of the first few songs.
Blues Festival, Joss Stone, 2017-07-03T21:00, 2017-07-03T21:20
Blues Festival, United by Music, 2017-07-04T12:00, 2017-07-04T13:00
Blues Festival, Rae Gordon, 2017-07-04T13:00, 2017-07-04T14:00
Blues Festival, Just This One: A Paul DeLay Tribute, 2017-07-04T14:00, 2017-07-04T15:00
Blues Festival, American Music Program, 2017-07-04T15:00, 2017-07-04T16:00
Blues Festival, Monkey Junk, 2017-07-04T16:00, 2017-07-04T17:00
Blues Festival, The Suffers, 2017-07-04T17:00, 2017-07-04T18:00
Blues Festival, Canned Heat, 2017-07-04T18:00, 2017-07-04T19:00
Blues Festival, Curtis Salgado, 2017-07-04T19:00, 2017-07-04T20:00
Blues Festival, Duffy Bishop, 2017-07-04T20:00, 2017-07-04T21:00
Blues Festival, March Fourth, 2017-07-04T21:00, 2017-07-04T22:15
